task_id,assigned_agent_id,predicted_success_prob
T0971,A31,0.9949776530265808
T0633,A31,0.9937175512313843
T0322,A31,0.9930779337882996
T1069,A31,0.9927399754524231
T3015,A31,0.9926937818527222
T2717,A31,0.9919303059577942
T1222,A31,0.9919255375862122
T2443,A16,0.9914736747741699
T4547,A16,0.9911525845527649
T0953,A31,0.9910356998443604
T0995,A13,0.9908587336540222
T1014,A31,0.9905952215194702
T4436,A31,0.9898121953010559
T3509,A16,0.9897323250770569
T2928,A13,0.9892238974571228
T1387,A31,0.9890050292015076
T1228,A31,0.9889194369316101
T3819,A31,0.9888661503791809
T1887,A13,0.9886151552200317
T0617,A32,0.9885586500167847
T0466,A13,0.988555371761322
T4437,A28,0.9884067177772522
T0647,A31,0.9881173968315125
T4955,A31,0.9879933595657349
T0486,A08,0.987261176109314
T1367,A31,0.9870824813842773
T0110,A16,0.9870336055755615
T3725,A08,0.9866206645965576
T4342,A31,0.9862239360809326
T3678,A31,0.9858524799346924
T2022,A28,0.9858011603355408
T4537,A31,0.9857838153839111
T1595,A08,0.9847429990768433
T3837,A31,0.984742283821106
T1165,A08,0.9830579161643982
T2278,A31,0.9830079078674316
T1518,A31,0.9826023578643799
T3415,A32,0.9819154739379883
T2883,A31,0.9817039370536804
T1528,A32,0.9811756014823914
T4913,A13,0.9808443784713745
T1146,A08,0.9803676605224609
T1355,A13,0.9796980619430542
T4120,A32,0.9792196154594421
T4515,A13,0.9791936278343201
T3060,A08,0.9788939356803894
T2628,A31,0.9787312746047974
T3402,A28,0.9782918691635132
T1655,A29,0.9781764149665833
T0001,A32,0.9779195785522461
T4197,A31,0.9773640632629395
T0025,A13,0.9773475527763367
T1491,A32,0.9771502017974854
T2826,A32,0.9770141243934631
T4521,A32,0.9769739508628845
T1654,A08,0.976874053478241
T1643,A49,0.9765594005584717
T4566,A45,0.9754999279975891
T2927,A08,0.9753178358078003
T4746,A32,0.9746615886688232
T2228,A31,0.9746096730232239
T3182,A37,0.9737082123756409
T4219,A32,0.9727502465248108
T1624,A31,0.9724436402320862
T0954,A08,0.9724326133728027
T0849,A29,0.9720739126205444
T3816,A28,0.9717729091644287
T0455,A42,0.9715949296951294
T1663,A45,0.9713032245635986
T0825,A32,0.9712069630622864
T3717,A08,0.9709185361862183
T2524,A32,0.9705228805541992
T4182,A32,0.9703388214111328
T2517,A24,0.9698590636253357
T1549,A31,0.969528079032898
T1282,A28,0.9686014652252197
T4852,A31,0.9682060480117798
T3272,A08,0.9676010012626648
T2985,A29,0.9666224718093872
T4795,A24,0.9662023186683655
T2328,A42,0.9655012488365173
T2229,A29,0.9650666117668152
T4686,A31,0.9649274349212646
T1929,A32,0.9648842215538025
T0673,A08,0.9628304243087769
T2178,A31,0.9624931216239929
T0580,A31,0.9624397158622742
T3423,A31,0.9624254703521729
T4853,A31,0.9592183232307434
T2916,A42,0.9591143727302551
T1960,A08,0.9589678645133972
T3010,A32,0.9571409225463867
T4364,A31,0.9570355415344238
T2618,A42,0.9569924473762512
T3227,A45,0.9556533098220825
T0173,A31,0.9555541276931763
T0407,A31,0.9536515474319458
T0308,A08,0.9511966705322266
T1307,A28,0.9504259824752808
T2386,A31,0.949382483959198
