task_id,amount_due,days_overdue,risk_score,customer_segment,entry_date
T2218,352.73,335,618,SME,2025-01-07
T2495,162.95,335,602,SME,2025-01-07
T2605,197.98,335,479,SME,2025-01-07
T2793,146.92,335,648,SME,2025-01-07
T2802,951.41,335,402,Retail,2025-01-07
T3108,116.17,335,633,Corporate,2025-01-07
T3517,37.51,335,410,Retail,2025-01-07
T4020,2085.38,335,536,Corporate,2025-01-07
T4042,181.89,335,576,SME,2025-01-07
T4616,109.28,335,790,SME,2025-01-07
T4667,118.8,335,322,Retail,2025-01-07
T4869,175.91,335,715,Retail,2025-01-07
T1812,148.35,334,327,SME,2025-01-08
T0099,167.17,333,554,Corporate,2025-01-09
T0712,299.45,333,316,Corporate,2025-01-09
T1317,533.99,333,302,Retail,2025-01-09
T1792,566.28,333,735,Corporate,2025-01-09
T2502,101.96,333,466,SME,2025-01-09
T2523,648.74,333,460,Corporate,2025-01-09
T3208,531.49,333,366,Retail,2025-01-09
T4302,125.68,333,779,Retail,2025-01-09
T1059,379.73,332,414,Retail,2025-01-10
T1374,195.61,332,649,SME,2025-01-10
T2185,186.23,332,609,Retail,2025-01-10
T3803,152.96,332,331,Retail,2025-01-10
T4394,680.26,332,702,SME,2025-01-10
T4791,335.19,332,427,Retail,2025-01-10
T0019,170.18,331,536,Retail,2025-01-11
T3635,478.16,331,848,Corporate,2025-01-11
T4661,102.05,331,444,Retail,2025-01-11
T0096,154.91,329,778,SME,2025-01-13
T1406,350.61,329,813,Retail,2025-01-13
T1777,97.36,329,307,SME,2025-01-13
T2186,181.19,329,725,Retail,2025-01-13
T2419,46.01,329,458,Retail,2025-01-13
T2652,149.13,329,501,Corporate,2025-01-13
T2709,185.34,329,326,Retail,2025-01-13
T2989,209.29,329,617,Corporate,2025-01-13
T2998,242.35,329,820,Retail,2025-01-13
T3204,1739.98,329,764,Retail,2025-01-13
T0298,100.92,328,448,Retail,2025-01-14
T0347,229.18,328,402,Retail,2025-01-14
T0836,1302.79,328,446,SME,2025-01-14
T1155,118.93,328,411,Corporate,2025-01-14
T1174,431.46,328,748,SME,2025-01-14
T1634,279.72,328,698,SME,2025-01-14
T2240,286.42,328,477,Retail,2025-01-14
T2583,339.09,328,616,Corporate,2025-01-14
T2868,157.29,328,700,Retail,2025-01-14
T3162,156.08,328,592,Retail,2025-01-14
T3601,182.83,328,443,Corporate,2025-01-14
T3673,33.8,328,677,Retail,2025-01-14
T3855,469.67,328,764,Corporate,2025-01-14
T4578,58.07,328,573,SME,2025-01-14
T4647,280.08,328,823,Retail,2025-01-14
T0361,36.19,327,695,Corporate,2025-01-15
T0731,177.77,327,406,SME,2025-01-15
T0789,55.07,327,838,SME,2025-01-15
T1643,194.54,327,326,Retail,2025-01-15
T1690,222.6,327,355,Corporate,2025-01-15
T2022,852.67,327,471,Corporate,2025-01-15
T2115,260.66,327,471,Corporate,2025-01-15
T2251,211.46,327,770,Retail,2025-01-15
T2708,20.74,327,832,Corporate,2025-01-15
T2898,96.89,327,797,Retail,2025-01-15
T4046,733.54,327,429,SME,2025-01-15
T4703,171.17,327,784,Corporate,2025-01-15
T4960,42.47,327,668,SME,2025-01-15
T0223,38.49,326,813,SME,2025-01-16
T0454,419.24,326,662,SME,2025-01-16
T2424,70.85,326,505,Corporate,2025-01-16
T2573,129.13,326,740,Retail,2025-01-16
T2957,644.04,326,691,Retail,2025-01-16
T3008,187.57,326,616,Corporate,2025-01-16
T3310,741.43,326,674,Corporate,2025-01-16
T3987,1004.75,326,472,Corporate,2025-01-16
T4437,748.17,326,567,SME,2025-01-16
T0135,157.72,325,536,Corporate,2025-01-17
T2978,406.09,325,533,SME,2025-01-17
T3946,902.14,325,314,SME,2025-01-17
T4026,141.64,325,579,SME,2025-01-17
T0062,653.48,324,348,Retail,2025-01-18
T3836,58.06,324,446,SME,2025-01-18
T2594,630.57,323,704,Corporate,2025-01-19
T0262,79.63,322,575,Retail,2025-01-20
T0685,249.44,322,768,Retail,2025-01-20
T0827,185.29,322,791,Retail,2025-01-20
T0964,109.77,322,555,Corporate,2025-01-20
T1404,88.0,322,449,SME,2025-01-20
T1637,139.75,322,446,Corporate,2025-01-20
T2103,143.91,322,359,Corporate,2025-01-20
T2407,167.06,322,329,SME,2025-01-20
T2599,912.34,322,668,Corporate,2025-01-20
T3114,2913.89,322,469,SME,2025-01-20
T3154,1284.68,322,809,Corporate,2025-01-20
T3361,277.41,322,727,Corporate,2025-01-20
T3580,213.92,322,583,Retail,2025-01-20
T0531,685.01,321,761,Retail,2025-01-21
T0773,436.74,321,337,Retail,2025-01-21
T0940,836.53,321,321,Retail,2025-01-21
T1704,82.55,321,478,Corporate,2025-01-21
T2576,442.16,321,708,Retail,2025-01-21
T4125,23.14,321,621,Corporate,2025-01-21
T4442,82.54,321,643,Corporate,2025-01-21
T0816,217.1,320,433,Corporate,2025-01-22
T1093,104.61,320,379,Retail,2025-01-22
T1909,516.14,320,843,SME,2025-01-22
T3052,164.3,320,845,SME,2025-01-22
T3303,196.48,320,696,Corporate,2025-01-22
T4217,271.75,320,635,Corporate,2025-01-22
T4410,92.19,320,781,SME,2025-01-22
T0128,722.48,319,526,SME,2025-01-23
T0268,162.15,319,837,Retail,2025-01-23
T0938,1094.55,319,798,Retail,2025-01-23
T1092,150.29,319,618,Retail,2025-01-23
T1467,794.93,319,554,SME,2025-01-23
T1861,1307.61,319,337,Retail,2025-01-23
T2312,72.77,319,447,Corporate,2025-01-23
T2610,577.25,319,381,Retail,2025-01-23
T3559,979.7,319,335,SME,2025-01-23
T3841,467.6,319,584,SME,2025-01-23
T4308,261.34,319,653,Corporate,2025-01-23
T4398,124.76,319,343,Retail,2025-01-23
T0203,475.77,318,542,SME,2025-01-24
T0406,148.23,318,418,Corporate,2025-01-24
T0765,836.62,318,694,SME,2025-01-24
T1393,201.87,318,746,SME,2025-01-24
T1587,866.67,318,579,Retail,2025-01-24
T1860,311.02,318,658,SME,2025-01-24
T2288,214.64,318,765,Retail,2025-01-24
T2866,127.4,318,605,SME,2025-01-24
T3816,79.87,318,825,Retail,2025-01-24
T4087,200.95,318,527,Retail,2025-01-24
T4377,32.51,318,769,Retail,2025-01-24
T4779,155.13,318,340,SME,2025-01-24
T0247,1573.39,317,599,Corporate,2025-01-25
T0792,446.42,317,536,Corporate,2025-01-25
T0448,198.28,315,392,SME,2025-01-27
T0769,786.16,315,730,SME,2025-01-27
